"Title", "ISBN13", "Author", "Publisher", "Year"
"Learning Node: Moving to the Server-Side", 9781491943120, "Shelley Powers", "O′Reilly", 2016
"Web Development with Node and Express: Leveraging the JavaScript Stack",9781491949306, "Ethan Brown", "O'Reilly", 2014
"JavaScript: The Good Parts", 9780596517748, "Douglas Crockford", "O′Reilly", 2008
"Understanding Ecmascript 6", 9781593277574, "Nicholas Zakus", "No Starch Press", 2016
"The Principles of Object-Oriented JavaScript", 9781593275402, "Nicholas C. Zakas", "No Starch Press", 2014
"Using SQLite", 9780596521189, "Jay A. Kreibich", "O'Reilly", 2010
"Getting Started with SQL: A hands-on approach for beginners", 9781491938614, "Thomas Nield", "O'Reilly", 2016
"The Language of SQL", 9780134658254, "Larry Rockoff", "Addison Wesley", 2016
"Node.js, MongoDB and Angular Web Development", 9780134655536, "Brad Dayley", "Addison Wesley", 2017
"MongoDB: The Definitive Guide", 9781449344689, "Kristina Chodorow", "O'Reilly", 2013
"Graph Databases", 9781491930892, "Ian Robinson, Jim Webber, Emil Eifrem", "O'Reilly", 2015
"HTML5 In Easy Steps", 9781840787542, "Mike McGrath", "In Easy Steps Limited", 2017